route_key,source,destination,route,total_flights,avg_duration_minutes,overnight_flights,anomaly_count,overnight_pct,anomaly_pct
7,BOM,CCU,BOM → CCU,90,169.51122148148147,0,0,0.0,0.0
13,CCU,DEL,CCU → DEL,72,153.6111803240741,0,0,0.0,0.0
26,MAA,BLR,MAA → BLR,65,172.81553794871795,0,0,0.0,0.0
1,BLR,BOM,BLR → BOM,60,147.73358166666668,0,0,0.0,0.0
25,HYD,MAA,HYD → MAA,57,152.80727894736842,0,0,0.0,0.0
19,DEL,HYD,DEL → HYD,54,174.75925925925927,0,0,0.0,0.0
24,HYD,DEL,HYD → DEL,42,185.35737896825398,0,0,0.0,0.0
8,BOM,DEL,BOM → DEL,39,153.82063931623932,0,0,0.0,0.0
12,CCU,BOM,CCU → BOM,33,163.96999696969698,0,0,0.0,0.0
16,DEL,BLR,DEL → BLR,29,170.03482586206894,0,0,0.0,0.0
17,DEL,BOM,DEL → BOM,28,178.10714285714286,0,0,0.0,0.0
22,HYD,BOM,HYD → BOM,27,155.4814814814815,1,0,3.7037037037037033,0.0
10,BOM,MAA,BOM → MAA,27,183.40740740740742,0,0,0.0,0.0
9,BOM,HYD,BOM → HYD,26,180.84615384615384,0,0,0.0,0.0
29,MAA,DEL,MAA → DEL,26,155.96173012820512,0,0,0.0,0.0
23,HYD,CCU,HYD → CCU,26,167.15384615384616,0,0,0.0,0.0
18,DEL,CCU,DEL → CCU,26,151.73076923076923,0,0,0.0,0.0
21,HYD,BLR,HYD → BLR,26,162.7694217948718,0,0,0.0,0.0
28,MAA,CCU,MAA → CCU,24,158.54166666666666,0,0,0.0,0.0
15,CCU,MAA,CCU → MAA,24,171.29187291666668,0,0,0.0,0.0
6,BOM,BLR,BOM → BLR,23,176.52238768115942,0,0,0.0,0.0
20,DEL,MAA,DEL → MAA,23,178.7826086956522,0,0,0.0,0.0
2,BLR,CCU,BLR → CCU,21,128.52380952380952,0,0,0.0,0.0
14,CCU,HYD,CCU → HYD,21,152.23833174603175,0,0,0.0,0.0
27,MAA,BOM,MAA → BOM,21,176.76214126984127,0,0,0.0,0.0
30,MAA,HYD,MAA → HYD,21,160.0,0,0,0.0,0.0
11,CCU,BLR,CCU → BLR,20,167.35024833333335,0,0,0.0,0.0
3,BLR,DEL,BLR → DEL,19,156.94736842105263,0,0,0.0,0.0
4,BLR,HYD,BLR → HYD,19,155.68421052631578,0,0,0.0,0.0
5,BLR,MAA,BLR → MAA,16,187.3125,0,0,0.0,0.0
